Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
188,Tristan Thompson\thomptr01,C,26,CLE,19,11,21.9,2.6,4.4,0.59,0,0.1,0,2.6,4.3,0.598,0.59,1.1,1.4,0.741,2.3,3.6,5.9,0.6,0.1,0.4,0.6,1.4,6.2
189,Karl-Anthony Towns\townska01,C,22,MIN,5,5,34,5.6,12,0.467,0.6,2.2,0.273,5,9.8,0.51,0.492,3.4,4.6,0.739,3,10.4,13.4,2.2,0.4,1,2.4,2.8,15.2
190,P.J. Tucker\tuckepj01,PF,32,HOU,17,17,33.5,3.1,6.4,0.481,2.1,4.4,0.467,1,1.9,0.515,0.644,0.7,1.1,0.667,1.4,5.2,6.5,1.3,0.6,0.8,0.8,2.7,8.9
191,Evan Turner\turneev01,SF,29,POR,3,3,29,4,11,0.364,0.7,2.3,0.286,3.3,8.7,0.385,0.394,0.7,0.7,1,1.7,2.3,4,3.3,1,0.3,2,2.7,9.3
192,Myles Turner\turnemy01,C,21,IND,7,7,28,4.7,7.7,0.611,0.9,1.9,0.462,3.9,5.9,0.659,0.667,2.1,2.7,0.789,0.9,4.3,5.1,0.6,0.3,0.6,1.6,3.6,12.4
193,Ekpe Udoh\udohek01,C,30,UTA,6,0,3.5,0.2,0.2,1,0,0,,0.2,0.2,1,1,0,0.7,0,0.2,0.3,0.5,0,0,0.3,0.2,0.3,0.3
194,Jonas Valanciunas\valanjo01,C,25,TOR,10,9,24.4,5.8,10.7,0.542,0.2,0.5,0.4,5.6,10.2,0.549,0.551,2.8,3.4,0.824,3,7.5,10.5,1.2,0.4,1.5,1.9,2.2,14.6
195,Fred VanVleet\vanvlfr01,PG,23,TOR,6,1,19,2.2,6.5,0.333,1.3,4.7,0.286,0.8,1.8,0.455,0.436,1.2,1.3,0.875,0,1.7,1.7,2.2,0,0,0.7,1.3,6.8
196,Dwyane Wade\wadedw01,SG,36,MIA,5,0,25.4,6.2,14,0.443,0,0.8,0,6.2,13.2,0.47,0.443,4.2,5.2,0.808,0.6,3.6,4.2,3.6,1.4,0.2,2.2,2.2,16.6
197,John Wall\walljo01,PG,27,WAS,6,6,39,9.3,21.2,0.441,0.7,3.5,0.19,8.7,17.7,0.491,0.457,6.7,7.8,0.851,0.5,5.2,5.7,11.5,2.3,1.3,4.5,2.7,26
198,David West\westda01,C,37,GSW,18,0,9.7,1.5,2.5,0.6,0.1,0.1,0.5,1.4,2.4,0.605,0.611,0.2,0.2,1,0.6,1.4,2.1,1.8,0.3,0.6,0.6,1.3,3.3
199,Russell Westbrook\westbru01,PG,29,OKC,6,6,39.2,10.7,26.8,0.398,2.5,7,0.357,8.2,19.8,0.412,0.444,5.5,6.7,0.825,1.8,10.2,12,7.5,1.5,0,5.2,3.5,29.3
200,Derrick White\whitede01,PG,23,SAS,3,0,6,1,2,0.5,0.3,0.7,0.5,0.7,1.3,0.5,0.583,0,0,,0,0,0,0.3,0.3,0.7,0,0,2.3
201,Hassan Whiteside\whiteha01,C,28,MIA,5,5,15.4,1.8,4,0.45,0,0,,1.8,4,0.45,0.45,1.6,2.6,0.615,2,4,6,0.2,0,1.2,2.4,3.2,5.2
202,Andrew Wiggins\wiggian01,SF,22,MIN,5,5,32.8,6,13.6,0.441,1.4,4.2,0.333,4.6,9.4,0.489,0.493,2.4,4,0.6,1,4.2,5.2,2,0.4,0.4,1.8,2.8,15.8
203,Justise Winslow\winslju01,PF,21,MIA,5,0,25,3,8.4,0.357,1.4,3.8,0.368,1.6,4.6,0.348,0.44,2.4,3.4,0.706,1.4,5.2,6.6,2.6,0.8,0.8,1.6,3.4,9.8
204,Delon Wright\wrighde01,PG,25,TOR,10,0,21.5,3.1,6.8,0.456,0.9,2.1,0.429,2.2,4.7,0.468,0.522,1.5,1.6,0.938,0.3,1.9,2.2,2.3,1.5,0.9,0.9,1,8.6
205,Guerschon Yabusele\yabusgu01,PF,22,BOS,12,0,4,0.1,0.8,0.111,0,0.5,0,0.1,0.3,0.333,0.111,0.2,0.4,0.4,0.3,0.7,0.9,0.3,0.2,0,0,0.8,0.3
206,Joe Young\youngjo01,PG,25,IND,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
207,Nick Young\youngni01,SG,32,GSW,20,2,10.3,0.8,2.7,0.302,0.7,2.4,0.298,0.1,0.3,0.333,0.434,0.3,0.4,0.75,0.1,0.6,0.6,0.2,0.1,0,0.1,0.9,2.6
208,Thaddeus Young\youngth01,PF,29,IND,7,7,33.9,5.1,8.6,0.6,0.3,1,0.286,4.9,7.6,0.642,0.617,0.7,1.9,0.385,3.1,4.6,7.7,1.4,1.7,0.9,1,3.1,11.3
209,Tyler Zeller\zellety01,C,28,MIL,7,3,9.4,0.6,0.7,0.8,0,0,,0.6,0.7,0.8,0.8,0.4,0.6,0.75,0.3,1.7,2,0.4,0.6,0.4,0.1,1.6,1.6
210,Ante Zizic\zizican01,C,21,CLE,8,0,2.9,0.6,1.3,0.5,0,0,,0.6,1.3,0.5,0.5,0.4,0.8,0.5,0.1,0.6,0.8,0.1,0,0.1,0.3,0.3,1.6
